SndOrRecOrDrop  time  type  seq  size  ack
Receive  7.547  第一次握手请求包  901  0  0
Send  8.55  第二次握手应答包  901  0  902
Receive  8.554  数据包  8  104  0
Send  8.554  普通应答包  0  0  8
Receive  8.555  数据包  5  104  0
Send  8.555  普通应答包  0  0  5
Receive  8.555  数据包  3  104  0
Send  8.555  普通应答包  0  0  3
Receive  8.556  数据包  1  104  0
Send  8.556  普通应答包  0  0  1
Receive  8.556  数据包  10  104  0
Send  8.556  普通应答包  0  0  10
Receive  8.556  数据包  9  104  0
Send  8.556  普通应答包  0  0  9
Receive  8.556  数据包  11  104  0
Send  8.557  普通应答包  0  0  11
Receive  8.557  数据包  4  104  0
Send  8.557  普通应答包  0  0  4
Receive  8.558  数据包  13  104  0
Send  8.558  普通应答包  0  0  13
Receive  8.558  数据包  16  104  0
Send  8.558  普通应答包  0  0  16
Receive  8.559  数据包  15  104  0
Send  8.559  普通应答包  0  0  15
Receive  8.559  数据包  19  104  0
Send  8.56  普通应答包  0  0  19
Receive  8.56  数据包  6  104  0
Send  8.56  普通应答包  0  0  6
Receive  8.561  数据包  14  104  0
Send  8.561  普通应答包  0  0  14
Receive  8.561  数据包  17  104  0
Send  8.562  普通应答包  0  0  17
Receive  8.562  数据包  23  104  0
Send  8.563  普通应答包  0  0  23
Receive  8.563  数据包  25  104  0
Send  8.564  普通应答包  0  0  25
Receive  8.565  数据包  22  104  0
Send  8.565  普通应答包  0  0  22
Receive  8.565  数据包  27  104  0
Send  8.566  普通应答包  0  0  27
Receive  8.566  数据包  26  104  0
Send  8.566  普通应答包  0  0  26
Receive  8.568  数据包  28  104  0
Send  8.568  普通应答包  0  0  28
Receive  8.569  数据包  30  104  0
Send  8.569  普通应答包  0  0  30
Receive  8.57  数据包  31  104  0
Send  8.57  普通应答包  0  0  31
Receive  8.574  数据包  21  104  0
Send  8.574  普通应答包  0  0  21
Receive  8.575  数据包  2  104  0
Send  8.575  普通应答包  0  0  2
Receive  8.575  数据包  12  104  0
Send  8.575  普通应答包  0  0  12
Receive  8.576  数据包  20  104  0
Send  8.576  普通应答包  0  0  20
Receive  8.579  数据包  35  104  0
Send  8.579  普通应答包  0  0  35
Receive  8.58  数据包  33  104  0
Send  8.58  普通应答包  0  0  33
Receive  8.581  数据包  34  104  0
Send  8.581  普通应答包  0  0  34
Receive  8.582  数据包  36  104  0
Send  8.582  普通应答包  0  0  36
Receive  8.582  数据包  40  104  0
Send  8.582  普通应答包  0  0  40
Receive  8.583  数据包  37  104  0
Send  8.583  普通应答包  0  0  37
Receive  8.584  数据包  39  104  0
Send  8.584  普通应答包  0  0  39
Receive  8.584  数据包  38  104  0
Send  8.584  普通应答包  0  0  38
Receive  8.585  数据包  44  104  0
Send  8.586  普通应答包  0  0  44
Receive  8.586  数据包  7  104  0
Send  8.586  普通应答包  0  0  7
Receive  8.587  数据包  42  104  0
Send  8.587  普通应答包  0  0  42
Receive  8.59  数据包  18  104  0
Send  8.59  普通应答包  0  0  18
Receive  8.591  数据包  47  104  0
Send  8.591  普通应答包  0  0  47
Receive  8.591  数据包  49  104  0
Send  8.591  普通应答包  0  0  49
Receive  8.591  数据包  45  104  0
Send  8.592  普通应答包  0  0  45
Receive  8.595  数据包  24  104  0
Send  8.595  普通应答包  0  0  24
Receive  8.595  数据包  53  104  0
Send  8.595  普通应答包  0  0  53
Receive  8.595  数据包  51  104  0
Send  8.595  普通应答包  0  0  51
Receive  8.596  数据包  50  104  0
Send  8.596  普通应答包  0  0  50
Receive  8.599  数据包  54  104  0
Send  8.599  普通应答包  0  0  54
Receive  8.6  数据包  56  104  0
Send  8.6  普通应答包  0  0  56
Receive  8.6  数据包  57  104  0
Send  8.6  普通应答包  0  0  57
Receive  8.6  数据包  55  104  0
Send  8.601  普通应答包  0  0  55
Receive  8.601  数据包  29  104  0
Send  8.601  普通应答包  0  0  29
Receive  8.603  数据包  32  104  0
Send  8.603  普通应答包  0  0  32
Receive  8.603  数据包  58  104  0
Send  8.603  普通应答包  0  0  58
Receive  8.604  数据包  61  104  0
Send  8.604  普通应答包  0  0  61
Receive  8.604  数据包  59  104  0
Send  8.604  普通应答包  0  0  59
Receive  8.606  数据包  65  104  0
Send  8.607  普通应答包  0  0  65
Receive  8.607  数据包  63  104  0
Send  8.607  普通应答包  0  0  63
Receive  8.607  数据包  66  104  0
Send  8.607  普通应答包  0  0  66
Receive  8.61  数据包  67  104  0
Send  8.61  普通应答包  0  0  67
Receive  8.616  数据包  43  104  0
Send  8.616  普通应答包  0  0  43
Receive  8.616  数据包  68  104  0
Send  8.617  普通应答包  0  0  68
Receive  8.617  数据包  69  104  0
Send  8.617  普通应答包  0  0  69
Receive  8.618  数据包  70  104  0
Send  8.618  普通应答包  0  0  70
Receive  8.622  数据包  71  104  0
Send  8.622  普通应答包  0  0  71
Receive  8.622  数据包  74  104  0
Send  8.623  普通应答包  0  0  74
Receive  8.623  数据包  48  104  0
Send  8.623  普通应答包  0  0  48
Receive  8.623  数据包  46  104  0
Send  8.623  普通应答包  0  0  46
Receive  8.623  数据包  72  104  0
Send  8.624  普通应答包  0  0  72
Receive  8.626  数据包  78  104  0
Send  8.627  普通应答包  0  0  78
Receive  8.628  数据包  76  104  0
Send  8.628  普通应答包  0  0  76
Receive  8.629  数据包  79  104  0
Send  8.629  普通应答包  0  0  79
Receive  8.632  数据包  80  104  0
Send  8.633  普通应答包  0  0  80
Receive  8.636  数据包  60  104  0
Send  8.637  普通应答包  0  0  60
Receive  8.637  数据包  64  104  0
Send  8.637  普通应答包  0  0  64
Receive  8.637  数据包  83  104  0
Send  8.637  普通应答包  0  0  83
Receive  8.64  数据包  85  104  0
Send  8.641  普通应答包  0  0  85
Receive  8.641  数据包  84  104  0
Send  8.641  普通应答包  0  0  84
Receive  8.641  数据包  86  104  0
Send  8.641  普通应答包  0  0  86
Receive  8.644  数据包  87  104  0
Send  8.644  普通应答包  0  0  87
Receive  8.644  数据包  89  104  0
Send  8.644  普通应答包  0  0  89
Receive  8.646  数据包  88  104  0
Send  8.646  普通应答包  0  0  88
Receive  8.649  数据包  90  104  0
Send  8.649  普通应答包  0  0  90
Receive  8.649  数据包  41  104  0
Send  8.649  普通应答包  0  0  41
Receive  8.65  数据包  91  104  0
Send  8.65  普通应答包  0  0  91
Receive  8.65  数据包  73  104  0
Send  8.65  普通应答包  0  0  73
Receive  8.651  数据包  92  104  0
Send  8.657  普通应答包  0  0  92
Receive  8.657  数据包  95  104  0
Send  8.657  普通应答包  0  0  95
Receive  8.657  数据包  93  104  0
Send  8.657  普通应答包  0  0  93
Receive  8.657  数据包  94  104  0
Send  8.657  普通应答包  0  0  94
Receive  8.657  数据包  97  104  0
Send  8.658  普通应答包  0  0  97
Receive  8.658  数据包  96  104  0
Send  8.658  普通应答包  0  0  96
Receive  8.658  数据包  77  104  0
Send  8.658  普通应答包  0  0  77
Receive  8.66  数据包  81  104  0
Send  8.66  普通应答包  0  0  81
Receive  8.66  数据包  98  104  0
Send  8.66  普通应答包  0  0  98
Receive  8.66  数据包  103  104  0
Send  8.66  普通应答包  0  0  103
Receive  8.667  数据包  99  104  0
Send  8.667  普通应答包  0  0  99
Receive  8.667  数据包  100  104  0
Send  8.667  普通应答包  0  0  100
Receive  8.667  数据包  82  104  0
Send  8.667  普通应答包  0  0  82
Receive  8.668  数据包  104  104  0
Send  8.668  普通应答包  0  0  104
Receive  8.668  数据包  105  104  0
Send  8.668  普通应答包  0  0  105
Receive  8.668  数据包  106  104  0
Send  8.668  普通应答包  0  0  106
Receive  8.668  数据包  101  104  0
Send  8.669  普通应答包  0  0  101
Receive  8.669  数据包  62  104  0
Send  8.669  普通应答包  0  0  62
Receive  8.671  数据包  111  104  0
Send  8.671  普通应答包  0  0  111
Receive  8.671  数据包  107  104  0
Send  8.671  普通应答包  0  0  107
Receive  8.672  数据包  110  104  0
Send  8.672  普通应答包  0  0  110
Receive  8.672  数据包  112  104  0
Send  8.672  普通应答包  0  0  112
Receive  8.672  数据包  114  104  0
Send  8.672  普通应答包  0  0  114
Receive  8.672  数据包  108  104  0
Send  8.672  普通应答包  0  0  108
Receive  8.672  数据包  109  104  0
Send  8.673  普通应答包  0  0  109
Receive  8.676  数据包  121  104  0
Send  8.676  普通应答包  0  0  121
Receive  8.677  数据包  116  104  0
Send  8.677  普通应答包  0  0  116
Receive  8.677  数据包  117  104  0
Send  8.677  普通应答包  0  0  117
Receive  8.678  数据包  120  104  0
Send  8.678  普通应答包  0  0  120
Receive  8.678  数据包  118  104  0
Send  8.678  普通应答包  0  0  118
Receive  8.681  数据包  122  104  0
Send  8.681  普通应答包  0  0  122
Receive  8.681  数据包  124  104  0
Send  8.681  普通应答包  0  0  124
Receive  8.682  数据包  123  104  0
Send  8.682  普通应答包  0  0  123
Receive  8.682  数据包  126  104  0
Send  8.682  普通应答包  0  0  126
Receive  8.685  数据包  129  104  0
Send  8.685  普通应答包  0  0  129
Receive  8.685  数据包  127  104  0
Send  8.685  普通应答包  0  0  127
Receive  8.686  数据包  128  104  0
Send  8.686  普通应答包  0  0  128
Receive  8.688  数据包  75  104  0
Send  8.688  普通应答包  0  0  75
Receive  8.689  数据包  132  104  0
Send  8.689  普通应答包  0  0  132
Receive  8.69  数据包  133  104  0
Send  8.69  普通应答包  0  0  133
Receive  8.693  数据包  134  104  0
Send  8.693  普通应答包  0  0  134
Receive  8.699  数据包  135  104  0
Send  8.699  普通应答包  0  0  135
Receive  8.7  数据包  136  104  0
Send  8.7  普通应答包  0  0  136
Receive  8.7  数据包  102  104  0
Send  8.7  普通应答包  0  0  102
Receive  8.7  数据包  137  104  0
Send  8.7  普通应答包  0  0  137
Receive  8.703  数据包  138  104  0
Send  8.703  普通应答包  0  0  138
Receive  8.704  数据包  140  104  0
Send  8.704  普通应答包  0  0  140
Receive  8.704  数据包  113  104  0
Send  8.704  普通应答包  0  0  113
Receive  8.704  数据包  115  104  0
Send  8.704  普通应答包  0  0  115
Receive  8.705  数据包  142  104  0
Send  8.705  普通应答包  0  0  142
Receive  8.708  数据包  143  104  0
Send  8.708  普通应答包  0  0  143
Receive  8.708  数据包  144  104  0
Send  8.709  普通应答包  0  0  144
Receive  8.709  数据包  146  104  0
Send  8.709  普通应答包  0  0  146
Receive  8.709  数据包  145  104  0
Send  8.709  普通应答包  0  0  145
Receive  8.713  数据包  125  104  0
Send  8.713  普通应答包  0  0  125
Receive  8.713  数据包  150  104  0
Send  8.713  普通应答包  0  0  150
Receive  8.714  数据包  130  104  0
Send  8.714  普通应答包  0  0  130
Receive  8.714  数据包  147  104  0
Send  8.714  普通应答包  0  0  147
Receive  8.717  数据包  153  104  0
Send  8.717  普通应答包  0  0  153
Receive  8.718  数据包  154  104  0
Send  8.718  普通应答包  0  0  154
