SndOrRecOrDrop  time  type  seq  size  ack
Send  0.002  第一次握手请求包  901  0  0
Receive  1.005  第二次握手应答包  901  0  902
Send  1.009  数据包  8  104  0
Send  1.009  数据包  5  104  0
Receive  1.009  普通应答包  0  0  8
Receive  1.01  普通应答包  0  0  5
Send  1.01  数据包  3  104  0
Receive  1.01  普通应答包  0  0  3
Send  1.01  数据包  1  104  0
Send  1.011  数据包  10  104  0
Receive  1.011  普通应答包  0  0  1
Send  1.011  数据包  9  104  0
Receive  1.011  普通应答包  0  0  10
Send  1.011  数据包  11  104  0
Receive  1.011  普通应答包  0  0  9
Receive  1.012  普通应答包  0  0  11
Send  1.012  数据包  4  104  0
Receive  1.012  普通应答包  0  0  4
Send  1.013  数据包  13  104  0
Send  1.013  数据包  16  104  0
Receive  1.013  普通应答包  0  0  13
Receive  1.013  普通应答包  0  0  16
Send  1.014  数据包  15  104  0
Receive  1.014  普通应答包  0  0  15
Drop  1.014  数据包  18  104  0
Send  1.014  数据包  19  104  0
Send  1.014  数据包  6  104  0
Receive  1.015  普通应答包  0  0  19
Receive  1.015  普通应答包  0  0  6
Send  1.015  数据包  14  104  0
Receive  1.016  普通应答包  0  0  14
Send  1.016  数据包  17  104  0
Receive  1.017  普通应答包  0  0  17
Send  1.017  数据包  23  104  0
Receive  1.018  普通应答包  0  0  23
Drop  1.018  数据包  24  104  0
Send  1.018  数据包  25  104  0
Receive  1.019  普通应答包  0  0  25
Send  1.02  数据包  22  104  0
Receive  1.02  普通应答包  0  0  22
Send  1.02  数据包  27  104  0
Receive  1.021  普通应答包  0  0  27
Send  1.021  数据包  26  104  0
Receive  1.021  普通应答包  0  0  26
Send  1.023  数据包  28  104  0
Receive  1.023  普通应答包  0  0  28
Send  1.024  数据包  30  104  0
Receive  1.024  普通应答包  0  0  30
Send  1.025  数据包  31  104  0
Receive  1.025  普通应答包  0  0  31
Drop  1.026  数据包  32  104  0
Send  1.026  数据包  21  104  0
Send  1.029  数据包  2  104  0
Send  1.03  数据包  12  104  0
Send  1.03  数据包  20  104  0
Drop  1.031  数据包  7  104  0
Drop  1.031  数据包  29  104  0
Receive  1.032  普通应答包  0  0  21
Receive  1.032  普通应答包  0  0  2
Receive  1.032  普通应答包  0  0  12
Receive  1.032  普通应答包  0  0  20
Send  1.034  数据包  35  104  0
Receive  1.034  普通应答包  0  0  35
Send  1.035  数据包  33  104  0
Receive  1.035  普通应答包  0  0  33
Send  1.036  数据包  34  104  0
Receive  1.036  普通应答包  0  0  34
Send  1.036  数据包  36  104  0
Receive  1.037  普通应答包  0  0  36
Send  1.037  数据包  40  104  0
Receive  1.037  普通应答包  0  0  40
Send  1.038  数据包  37  104  0
Drop  1.038  数据包  41  104  0
Receive  1.038  普通应答包  0  0  37
Send  1.039  数据包  39  104  0
Receive  1.039  普通应答包  0  0  39
Send  1.039  数据包  38  104  0
Receive  1.04  普通应答包  0  0  38
Drop  1.04  数据包  43  104  0
Send  1.04  数据包  44  104  0
Receive  1.041  普通应答包  0  0  44
Send  1.041  数据包  7  104  0
Receive  1.041  普通应答包  0  0  7
Send  1.041  数据包  42  104  0
Receive  1.042  普通应答包  0  0  42
Drop  1.044  数据包  48  104  0
Send  1.044  数据包  18  104  0
Receive  1.045  普通应答包  0  0  18
Drop  1.045  数据包  46  104  0
Send  1.045  数据包  47  104  0
Receive  1.046  普通应答包  0  0  47
Send  1.046  数据包  49  104  0
Receive  1.046  普通应答包  0  0  49
Send  1.046  数据包  45  104  0
Receive  1.047  普通应答包  0  0  45
Send  1.049  数据包  24  104  0
Receive  1.05  普通应答包  0  0  24
Send  1.05  数据包  53  104  0
Receive  1.05  普通应答包  0  0  53
Drop  1.05  数据包  52  104  0
Send  1.05  数据包  51  104  0
Receive  1.05  普通应答包  0  0  51
Send  1.051  数据包  50  104  0
Receive  1.051  普通应答包  0  0  50
Send  1.054  数据包  54  104  0
Receive  1.054  普通应答包  0  0  54
Send  1.055  数据包  56  104  0
Receive  1.055  普通应答包  0  0  56
Send  1.055  数据包  57  104  0
Send  1.055  数据包  55  104  0
Receive  1.055  普通应答包  0  0  57
Send  1.055  数据包  29  104  0
Receive  1.056  普通应答包  0  0  55
Receive  1.056  普通应答包  0  0  29
Send  1.058  数据包  32  104  0
Send  1.058  数据包  58  104  0
Receive  1.058  普通应答包  0  0  32
Drop  1.058  数据包  60  104  0
Receive  1.058  普通应答包  0  0  58
Drop  1.058  数据包  62  104  0
Send  1.059  数据包  61  104  0
Send  1.059  数据包  59  104  0
Receive  1.059  普通应答包  0  0  61
Receive  1.059  普通应答包  0  0  59
Send  1.061  数据包  65  104  0
Send  1.061  数据包  63  104  0
Receive  1.062  普通应答包  0  0  65
Send  1.062  数据包  66  104  0
Drop  1.062  数据包  64  104  0
Send  1.065  数据包  67  104  0
Receive  1.062  普通应答包  0  0  63
Receive  1.068  普通应答包  0  0  66
Receive  1.068  普通应答包  0  0  67
Send  1.071  数据包  43  104  0
Send  1.071  数据包  68  104  0
Receive  1.071  普通应答包  0  0  43
Receive  1.072  普通应答包  0  0  68
Send  1.072  数据包  69  104  0
Receive  1.072  普通应答包  0  0  69
Drop  1.072  数据包  41  104  0
Send  1.073  数据包  70  104  0
Receive  1.073  普通应答包  0  0  70
Send  1.077  数据包  71  104  0
Send  1.077  数据包  74  104  0
Receive  1.077  普通应答包  0  0  71
Receive  1.078  普通应答包  0  0  74
Send  1.078  数据包  48  104  0
Receive  1.078  普通应答包  0  0  48
Drop  1.078  数据包  73  104  0
Send  1.078  数据包  46  104  0
Send  1.078  数据包  72  104  0
Receive  1.078  普通应答包  0  0  46
Receive  1.079  普通应答包  0  0  72
Drop  1.081  数据包  75  104  0
Send  1.081  数据包  78  104  0
Receive  1.082  普通应答包  0  0  78
Send  1.082  数据包  76  104  0
Receive  1.083  普通应答包  0  0  76
Drop  1.083  数据包  77  104  0
Send  1.083  数据包  79  104  0
Receive  1.084  普通应答包  0  0  79
Drop  1.084  数据包  52  104  0
Drop  1.087  数据包  81  104  0
Send  1.087  数据包  80  104  0
Receive  1.088  普通应答包  0  0  80
Drop  1.088  数据包  82  104  0
Send  1.091  数据包  60  104  0
Send  1.092  数据包  64  104  0
Receive  1.092  普通应答包  0  0  60
Receive  1.092  普通应答包  0  0  64
Send  1.092  数据包  83  104  0
Receive  1.092  普通应答包  0  0  83
Drop  1.093  数据包  62  104  0
Send  1.095  数据包  85  104  0
Send  1.095  数据包  84  104  0
Receive  1.096  普通应答包  0  0  85
Receive  1.096  普通应答包  0  0  84
Send  1.096  数据包  86  104  0
